"Wohnviertel_ID"	"wohnviertel_name_new"	"Ausländeranteil"	"Staatsangehörigkeit"	"Deutschland"	"Italien"	"Türkei"	"Serbien, Montenegro, Kosovo"	"Spanien"	"Übrige"
1	Altstadt Grossbasel	0.3403305047	0.1	0.280839895	0.0761154856	0.0131233596	0.0078740157	0.0643044619	0.5577427822
2	Vorstädte	0.4396793587	0.1	0.1905195989	0.1071103008	0.0191431176	0.0164083865	0.0587967183	0.6080218778
3	Am Ring	0.4059776926	0.1	0.2294483795	0.1126851256	0.0336982185	0.0178149818	0.0697574587	0.536595836
4	Breite	0.3826935449	0.1	0.2045390866	0.1126365929	0.0834967778	0.0526758196	0.0473521995	0.4992995237
5	St. Alban	0.3877194376	0.1	0.1929932391	0.0948576111	0.0512190125	0.0184388445	0.0555214095	0.5869698832
6	Gundeldingen	0.4226487724	0.1	0.2007384615	0.1257846154	0.1016615385	0.0669538462	0.0540307692	0.4508307692
7	Bruderholz	0.2513007284	0.1	0.2799171843	0.1043478261	0.0265010352	0.0144927536	0.0372670807	0.5374741201
8	Bachletten	0.2391778036	0.1	0.2972972973	0.116610993	0.0425144245	0.0285453993	0.0561797753	0.4588521105
9	Gotthelf	0.3050056561	0.1	0.2498840983	0.1223922114	0.0426518312	0.0287436254	0.0700046361	0.4863235976
10	Iselin	0.4058412769	0.1	0.1775228731	0.1205789977	0.1074696163	0.0503891848	0.0636351222	0.4804042059
11	St. Johann	0.4303240977	0.1	0.1894749347	0.1108339273	0.0818484201	0.0555951532	0.0582086006	0.5040389641
12	Altstadt Kleinbasel	0.4103405827	0.1	0.273	0.111	0.029	0.043	0.066	0.478
13	Clara	0.5163265306	0.1	0.1594202899	0.1365832235	0.0601668863	0.0746596399	0.0636802811	0.5054896794
14	Wettstein	0.3394542646	0.1	0.3144590495	0.1162790698	0.040950455	0.0298281092	0.0631951466	0.4352881699
15	Hirzbrunnen	0.2817965435	0.1	0.2739625413	0.1263312523	0.0951156812	0.0627983841	0.058024238	0.383767903
16	Rosental	0.5756756757	0.1	0.1730382294	0.0764587525	0.0731052985	0.0608093002	0.0565615918	0.5600268276
17	Matthäus	0.5062631857	0.1	0.1862221643	0.107435864	0.0700612059	0.0714936841	0.0636801667	0.501106915
18	Klybeck	0.544481982	0.1	0.1385729059	0.1437435367	0.1153050672	0.0734229576	0.0542916236	0.474663909
19	Kleinhüningen	0.5113513514	0.1	0.1599718111	0.1381254405	0.11205074	0.0775193798	0.0359408034	0.4763918252
20	Riehen	0.2961360124	0.1	0.407843722	0.0869370713	0.0402624515	0.0284819565	0.0290784372	0.4073963615
30	Bettingen	0.2484615385	0.1	0.5696594427	0.080495356	0.0309597523	0.0030959752	0.0185758514	0.2972136223
