	Einkaufsläden und Märkte	Restaurations-, Bar- und Clubbetriebe sowie Diskotheken und Tanzlokale	Betriebe in den Bereichen Kultur, Unterhaltung, Freizeit und Sport	Betriebe mit personenbezogenen Dienstleistungen mit Körperkontakt
4. April 2020	2.553523873	4.018746461	3.566860282	0.847155529
11. Mai 2020	0	0.084401015	2.551951184	0
18. Januar 2021	2.384721844	4.018746461	3.566860282	0
