	Gesamtimporte und -exporte Schweiz  (in Tausend Tonnen)	Importe und Exporte über den Rhein  (in Tausend Tonnen)	Anteil der Importe und Exporte über den Rhein (rechte Skala)
1955	12175.63	4587.42	37.67706476
1956	14073.535	5285.221	37.55432448
1957	14361.971	5396.36	37.57395137
1958	12899.721	4868.013	37.73735106
1959	14036.083	4898.351	34.89827611
1960	16912.296	6961.75	41.16383725
1961	18665.673	6817.493	36.52422819
1962	20642.561	7081.578	34.3057143
1963	23055.584	8280.847	35.91688244
1964	23852.551	7529.97	31.56882465
1965	24948.433	8615.25	34.53222894
1966	25096.757	8407.156	33.49897359
1967	26272.654	7912.02	30.11503901
1968	28497.641	7808.613	27.40091013
1969	30932.083	8016.608	25.91680618
1970	34183.695	8924.826	26.10842976
1971	35085.64	8202.264	23.37783777
1972	38171.387	7925.586	20.76315959
1973	41090.666	8448.043	20.55951831
1974	39101.267	9340.192	23.88718504
1975	32482.549	8189.261	25.21126344
1976	34183.896	8291.938	24.25685475
1977	35551.349	9008.501	25.33940695
1978	36944.708	8686.349	23.51175438
1979	39124.333	8581.668	21.93434965
1980	40663	9019.507	22.18111551
1981	39204	8536.116	21.77358433
1982	37736	7371.192	19.53358067
1983	41462	8162.831	19.6874994
1984	42381	8771.285	20.6962672
1985	43428	8101.21	18.65434743
1986	45911	8987.339	19.57556795
1987	45922	8207.932	17.87363791
1988	48704	8452.792	17.35543693
1989	51713	8845.162	17.10432967
1990	52757.88717	9194.538	17.42779799
1991	51707.8892	8353.401	16.15498356
1992	49197.29524	8530.91	17.34020124
1993	47473.7474	8283.382	17.44834241
1994	50187.11738	8206.774	16.35235182
1995	49401.69813	8025.094	16.24457114
1996	48979.59257	7160.283	14.61891091
1997	54142.79792	7839.929	14.48009579
1998	53952.45989	8108.747	15.02942964
1999	54652.68507	7447.85	13.62760126
2000	58936.69103	8545.733	14.49985205
2001	59197.73103	8634.148	14.58526847
2002	59098.96658	8254.633	13.96747435
2003	59551.50038	7170.788	12.04132214
2004	61833.29819	7245.629	11.71800504
2005	62268.79327	7260.862	11.66051503
2006	66437.50008	6749.727	10.15951382
2007	66813.25492	7108.23	10.63895182
2008	67754.73994	7212.262	10.64466044
2009	63138.29764	6443.688	10.20567269
2010	66636.8148	6518.276	9.781794073
2011	68745.146	5677.988	8.259474785
2012	67749.60291	7210.548	10.64293766
2013	70113.87643	6829.684	9.740844962
2014	70187.03223	5982.09	8.52307016
2015	70300.06221	6333.838	9.009718911
2016	70498.91532	5896.503	8.363962727
2017	72675.69546	5790.154	7.967111925
2018	71004.0293	4697.981	6.616499157
2019	70842.21249	6065.234	8.561610072
2020	66056.03406	5126.780382	7.761259747
2021	68085.02999	5407.266248	7.941931212
2022	68814.21279	4600.521112	6.685422859
2023	64344.89041	4974.273797	7.730643048
2024	64502.231797	5389.403372	8.355375034
