Monat 2024	Inland	Ausland
Jan 24	1.714659312	2.032864049	
Feb 24	1.684637159	2.001960784
Mrz 24	1.624349723	2.059180102
Apr 24	1.550591327	1.914560273
Mai 24	1.690627902	1.949797973
Jun 24	1.682636548	2.066169357
Jul 24	1.603501990	1.802817974
Aug 24	1.653980767	1.883814880
Sep 24	1.549054562	1.917233435
Okt 24	1.652657334	2.115304381
Nov 24	1.505660878	1.983914620
Dez 24	1.585548613	1.931536743
		



