"Kanton"	"2016"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2017"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2018"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2019"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2020"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"
"Basel-Stadt"	72.7308	70.0968	75.3648	71.7323	69.0634	74.4013	66.3419	63.3639	69.3199	67.7170	64.8675	70.5665	68.7455	66.0455	71.4455
"Basel-Landschaft"	75.5900	73.5914	77.5885	76.7547	74.8608	78.6487	75.2191	73.2487	77.1895	74.0769	72.1115	76.0424	72.9321	70.9564	74.9078
"Jura"	70.1859	66.0864	74.2853	69.8399	65.6317	74.0482	72.5419	68.4565	76.6274	69.2627	65.0853	73.4402	75.0305	71.2177	78.8433
"BS/BL/JU"	73.9187	72.4338	75.4037	74.1774	72.7200	75.6348	71.9849	70.4433	73.5266	71.4319	69.9171	72.9468	71.8550	70.3804	73.3296
"Schweiz"	75.6075	75.2718	75.9432	76.5141	76.1839	76.8443	74.7748	74.4299	75.1196	75.4409	75.1028	75.7791	74.8357	74.5135	75.1578

