wohnviertel_id	Wohnfläche pro Kopf	Rang	Wohnviertel	jahr_num
18	32.264901599886733	1	Klybeck	2019
19	32.690000000000000	2	Kleinhüningen	2019
16	34.593433652530779	3	Rosental	2019
17	35.826884048166689	4	Matthäus	2019
13	36.659340659340659	5	Clara	2019
10	36.720234533923656	6	Iselin	2019
11	36.762402682275387	7	St. Johann	2019
4	38.856169826313997	8	Breite	2019
15	38.979250407387289	9	Hirzbrunnen	2019
6	39.043906956474369	10	Gundeldingen	2019
9	41.473210332103321	11	Gotthelf	2019
12	43.391752577319587	12	Altstadt Kleinbasel	2019
3	45.562120321379580	13	Am Ring	2019
14	46.113440658929239	14	Wettstein	2019
8	46.237953819882693	15	Bachletten	2019
20	47.501065997062585	16	Riehen	2019
7	48.399783549783549	17	Bruderholz	2019
5	48.506270154066642	18	St. Alban	2019
2	50.563448566610455	19	Vorstädte	2019
1	52.887750122010736	20	Altstadt Grossbasel	2019
30	53.011926605504587	21	Bettingen	2019
