"Jahr"	"W. gebaut"	"NW. gebaut"	"W. abgebrochen"	"NW. abgebrochen"	"Wohnen Saldo"	"Nichtwohnen Saldo"	"Total Saldo"
2012	83850	2083	-5765	-15393	78085	-13310	64775
2013	28184	75249	-14183	-4251	14001	70998	84999
2014	65363	49909	-7745	-35531	57618	14378	71996
2015	91678	45772	-25537	-15644	66141	30128	96269
2016	63857	207061	-15710	-69097	48147	137964	186111
2017	54317	90757	-6772	-24488	47545	66269	113814
2018	139818	54027	-19788	-57870	120030	-3843	116187
2019	193635	60407	-26867	-26042	166768	34365	201133
2020	109692	54955	-15339	-22318	94353	32637	126990
