"Wohnviertel"	"Deutschland"	"Italien"	"Türkei"	"EU-West + EFTA + UK"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"
"Altstadt GB"	25.9	8.7	3.8	29.1	5.4	1.9	1.5	1.1	1.4	21.1
"Vorstädte"	19.1	10.7	1.9	25.8	9.4	2.7	1.9	2.4	1.8	24.3
"Am Ring"	22.9	11.3	3.4	27.8	7.6	2.9	2.7	1.7	2.3	17.4
"Breite"	20.5	11.3	8.3	18.4	8.2	10.6	3.8	1.8	2.7	14.3
"St. Alban"	19.3	9.5	5.1	26.9	8.2	3.6	4.1	2.2	1.9	19.1
"Gundeld."	20.1	12.6	10.2	18.6	7.7	10.3	2.7	2.8	2.3	12.9
"Bruderholz"	28.0	10.4	2.7	28.2	8.6	2.0	3.5	1.5	0.8	14.3
"Bachletten"	29.7	11.7	4.3	23.7	8.1	3.8	2.3	1.9	1.6	12.9
"Gotthelf"	25.0	12.2	4.3	26.1	6.9	3.8	2.4	1.2	1.7	16.4
"Iselin"	17.8	12.1	10.7	20.6	8.3	8.0	2.7	3.5	3.2	13.2
"St. Johann"	18.9	11.1	8.2	22.3	8.1	9.0	2.5	2.4	3.6	13.8
"Altstadt KB"	27.3	11.1	2.9	22.1	7.7	6.9	3.5	2.3	2.3	13.9
"Clara"	15.9	13.7	6.0	18.5	7.8	13.1	2.6	2.5	3.0	16.8
"Wettstein"	31.4	11.6	4.1	22.8	6.2	4.4	1.7	1.5	1.4	14.8
"Hirzbrun."	27.4	12.6	9.5	16.3	5.8	9.9	2.1	2.9	2.4	11.1
"Rosental"	17.3	7.6	7.3	19.5	7.7	10.9	2.2	2.8	3.6	21.0
"Matthäus"	18.6	10.7	7.0	21.3	7.3	12.6	2.6	3.1	4.1	12.8
"Klybeck"	13.9	14.4	11.5	18.6	6.7	14.5	1.8	4.3	4.2	10.1
"Kleinhün."	16.0	13.8	11.2	12.2	6.6	16.8	2.0	5.9	4.7	10.8
"Riehen"	40.8	8.7	4.0	15.9	7.2	4.7	2.4	1.3	2.0	13.1
"Bettingen"	57.0	8.0	3.1	17.3	3.1	0.6	0.9		2.2	7.7

