Kategorien	 Stimmt genau	 Stimmt eher	 Stimmt eher nicht	 Stimmt gar nicht	 Weiss nicht	 Keine Angabe
2009						
2009: Nur Deutsch	86	533	416	160	371	101
2009: Deutsch und weitere	104	327	199	61	230	64
2009: Kein Deutsch	61	143	54	26	129	54
2009: Total	251	1003	669	247	730	219
2013						
2013: Nur Deutsch	78.82893	336.08670	286.57497	88.72328	316.96344	47.58602
2013: Deutsch und weitere	104.66406	224.39218	122.86818	27.95404	188.89978	46.81351
2013: Kein Deutsch	64.28127	105.20437	39.95855	12.79886	89.06517	29.98659
2013: Total	251.08266	675.84671	450.16664	131.52807	597.98980	124.38612
2017						
2017: Nur Deutsch	74.78412	262.24929	153.82224	70.70474	218.95741	30.16454
2017: Deutsch und weitere	88.91528	192.97647	81.71069	38.34324	132.99536	25.81515
2017: Kein Deutsch	57.84434	79.05718	29.18088	2.48044	73.05616	19.01180
2017: Total	229.46671	546.53140	268.02106	112.95977	430.77140	77.24965
2022						
2022: Nur Deutsch	60.36799	328.92985	192.39541	54.45154	201.50357	15.10640
2022: Deutsch und weitere	101.56939	244.00484	128.27379	51.81930	156.89479	26.73074
2022: Kein Deutsch	34.36507	65.53151	27.94260	4.57368	73.81136	8.44858
2022: Total	198.74866	638.46621	348.61181	110.84451	432.20972	52.11909

