""	"Allgemein"	"Halbprivat"	"Privat"
"0 bis 9 J."	7533	480	412
"10 bis 19 J."	2206	175	171
"20 bis 29 J."	3769	226	208
"30 bis 39 J."	5918	563	467
"40 bis 49 J."	4520	462	412
"50 bis 59 J."	6070	943	783
"60 bis 69 J."	6452	1511	1112
"70 bis 79 J."	7463	2327	1594
"80 bis 89 J."	6573	2028	1378
"90 Jahre u.m."	1835	497	400

