"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	0.3058	""	""	""
"1986"	0.3114	""	""	""
"1987"	0.3145	""	""	""
"1988"	0.3173	""	""	""
"1989"	0.3201	""	""	""
"1990"	0.3180	""	""	""
"1991"	0.3175	""	""	""
"1992"	0.3168	""	""	""
"1993"	0.3171	""	""	""
"1994"	0.3212	""	""	""
"1995"	0.3240	""	""	""
"1996"	0.3272	""	""	""
"1997"	0.3311	""	""	""
"1998"	0.3325	""	""	""
"1999"	0.3362	""	""	""
"2000"	0.3386	""	""	""
"2001"	0.3385	""	""	""
"2002"	0.3326	""	""	""
"2003"	0.3290	""	""	""
"2004"	0.3271	""	""	""
"2005"	0.3271	""	""	""
"2006"	0.3263	""	""	""
"2007"	0.3267	""	""	""
"2008"	0.3237	""	""	""
"2009"	0.3202	""	""	""
"2010"	0.3190	""	""	""
"2011"	0.3167	""	""	""
"2012"	0.3147	""	""	""
"2013"	0.3121	""	""	""
"2014"	0.3107	""	""	""
"2015"	0.3093	""	""	""
"2016"	0.3074	""	""	""
"2017"	0.3060	""	""	""
"2018"	0.3044	""	""	""
"2019"	0.3039	""	""	""
"2020"	0.3007	""	""	""
"2021"	0.3034	""	""	""
"2022"	0.3013	""	""	""
"2023"	0.3013	""	""	""
"2024"	0.3023	""	""	""
"2025"	0.3020	""	""	""
"2026"	""	0.3026	0.3028	0.3041
"2027"	""	0.3032	0.3037	0.3062
"2028"	""	0.3046	0.3052	0.3091
"2029"	""	0.3065	0.3074	0.3125
"2030"	""	0.3081	0.3091	0.3154
"2031"	""	0.3093	0.3103	0.3178
"2032"	""	0.3091	0.3102	0.3186
"2033"	""	0.3091	0.3103	0.3195
"2034"	""	0.3089	0.3100	0.3200
"2035"	""	0.3080	0.3091	0.3197
"2036"	""	0.3068	0.3077	0.3188
"2037"	""	0.3053	0.3061	0.3176
"2038"	""	0.3042	0.3048	0.3167
"2039"	""	0.3039	0.3044	0.3167
"2040"	""	0.3031	0.3035	0.3161
"2041"	""	0.3028	0.3032	0.3161
"2042"	""	0.3029	0.3033	0.3164
"2043"	""	0.3027	0.3031	0.3164
"2044"	""	0.3028	0.3033	0.3167
"2045"	""	0.3037	0.3043	0.3180
"2046"	""	0.3047	0.3056	0.3197
"2047"	""	0.3058	0.3070	0.3215
"2048"	""	0.3068	0.3083	0.3231
"2049"	""	0.3078	0.3097	0.3247
"2050"	""	0.3087	0.3109	0.3262

