Monat	 Inland 2020	 Ausland 2020	 Inland 2021	 Ausland 2021
Jan	38946	52412	11401	7457
Feb	29979	58545	12028	8720
Mrz	17994	19150	17617	13289
Apr	8317	4543	41444	17234
Mai	11786	4577	42744	17555
Jun	18860	11330	30615	23304
Jul	28443	27079	37286	44571
Aug	31995	30520	46034	58323
Sep	29733	24568	42854	62763
Okt	32593	16294	48845	51382
Nov	16564	8805	38491	43489
Dez	14303	8570	32455	34706
