"Jahr"	"Laden"	"Büro"	"Gewerbe"	"Produktion"	"Lager"	"Total"
2016	17263	79203	33899	5836	65450	201651
2017	13425	85147	59979	36968	53367	248886
2018	11921	87762	47719	27094	61068	235564
2019	11803	82832	64730	4330	51726	215421
2020	20559	67423	65691	14741	38354	206768
2021	10295	87848	46148	9682	36540	190513
2022	10572	70712	50434	11293	19851	162862
2023	8296	86536	50870	5783	19561	171046
2024	4800	71029	50979	1661	24464	152933
2025	15887	87522	33878	11377	28906	177570


				


