"Wohnviertel_ID"	"Wohnviertel_Name"	"Anteil (%)"	"Differenz 2019 zu 2010 (pp)"
01	"Altstadt Grossbasel"	28.3401	5.09684
02	"Vorstädte"	34.7222	-0.28784
03	"Am Ring"	32.0534	3.33459
04	"Breite"	30.6098	3.70344
05	"St. Alban"	29.6216	7.56436
06	"Gundeldingen"	33.5430	-0.02750
07	"Bruderholz"	17.6950	1.19782
08	"Bachletten"	15.8893	0.03473
09	"Gotthelf"	21.7755	-1.15345
10	"Iselin"	29.6373	-1.08528
11	"St. Johann"	35.3570	-1.32194
12	"Altstadt Kleinbasel"	37.1429	3.25164
13	"Clara"	41.5550	-2.26788
14	"Wettstein"	27.6292	5.23866
15	"Hirzbrunnen"	19.1716	1.60403
16	"Rosental"	49.9456	8.14665
17	"Matthäus"	42.9547	-4.10966
18	"Klybeck"	42.9240	-4.42867
19	"Kleinhüningen"	39.8734	-8.92176
20	"Riehen"	22.3934	5.71891
30	"Bettingen"	29.0076	0.18410

