	Landwirtschaftl. Erzeugnisse	Nahrungs- und Futtermittel	Feste mineralische Brennstoffe	Erdöl, Mineralölerzeugnisse	Erze und Metallabfälle	Eisen, Stahl, Nichteisen-Metalle	Steine, Erden, Baustoffe	Düngemittel	Chemische Erzeugnisse	Fahrzeuge, Maschinen, Übrige	Gesamt
2014	302404	460027	28462	2069340	60801	354737	1002562	129234	235929	234016	4877512
2015	268837	450466	65035	2764242	69309	332869	806832	116680	199129	221185	5294584
2016	309109	428565	31175	2438441	31717	289068	784550	124993	201327	223873	4862818
2017	234137	409937	37815	2457975	12627	314483	704561	124696	184895	248005	4729131
2018	220121	384245	795	1736805	19126	185614	727678	102737	150995	240329	3768445
2019	197564	392180	18452	2756555	25143	227203	789171	145487	258530	243774	5054059
2020	183996.719	364428.789	2314.709	2252751.212	37139.507	190844.67	737676.594	124206.948	150259.771	236581.309	4280200.228
2021	207691.334	385382.345	18600.613	2332819.372	69829.413	246818.459	697152.177	124208.45	135019.212	267109.698	4484631.073
2022	262040.356	344157.781	16321.09	1660115.214	57735.58	258664.396	592730.756	83620.184	153727.402	296452.655	3725565.414
2023	138319.105	286895.898	21868.437	2431906.853	75623.605	212251.791	516730.065	103949.574	144543.281	230928.269	4163016.878
2024	181287.324	321471.884	11664.147	2589504.838	137677.716	231047.773	469304.721	117723.499	143760.873	226009.367	4429452.142
