Grossregion	Zahlungsrückstand	95% Vertrauensintervall Untergrenze	95% Vertrauensintervall Obergrenze	Konto- oder Kreditkartenüberziehung	95% Vertrauensintervall Untergrenze	95% Vertrauensintervall Obergrenze
Genferseeregion	25.9	23.3	28.6	11.7	9.7	13.8
Mittelland	21.0	18.8	23.2	8.6	7.0	10.3
Nordwestschweiz	20.3	17.0	23.7	10.1	7.3	13.0
Zürich	15.3	12.9	17.7	6.9	5.4	8.3
Ostschweiz	12.9	10.4	15.3	7.1	5.0	9.2
Zentralschweiz	12.0	9.4	14.5	4.8	2.9	6.6
Tessin	21.6	14.8	28.4	14.6	9.1	20.0
Schweiz	18.9	17.9	19.9	8.8	8.0	9.6
