	2018	2019	2020	2021	2022	2023
Parkhaus City: Mo-Fr	0	0	0	1891.9885057	1540.9576923	1654.4230769
Parkhaus City: Sa	0	0	0	1089.60	1079.66	1161.23
Parkhaus Elisabethen: Mo-Fr	1860.7509579	1812.0038314	1405.8167939	1440.0804598	1499.3346154	1545.6846154
Parkhaus Elisabethen: Sa	2350.37	2345.31	1619.29	1798.04	2076.58	2128.12
Parkhaus Steinen: Mo-Fr	1301.5363985	1363.1570881	1101.6679389	1180.1111111	1205.3230769	1165.4961538
Parkhaus Steinen: Sa	1853.1	1940.63	1499.94	1568.77	1838.57	1798.65
Parkhaus Storchen: Mo-Fr	823.81226054	820.33333333	741.69465649	807.93869732	818.56923077	798.90769231
Parkhaus Storchen: Sa	825.83	831.12	689.38	750.31	780.98	787.38
Total: Mo-Fr	3986.0996169	3995.4942529	3249.1793893	5320.1187739	5544.1000000	5667.8307692
Total: Sa	5029.29	5117.06	3808.62	5206.71	6415.11	6582.58
Total (ohne City): Mo-Fr	3986.0996169	3995.4942529	3249.1793893	3428.1302682	4003.1423077	4013.4076923
Total (ohne City): Sa	5029.29	5117.06	3808.62	4117.11	5335.45	5421.35
