Jahr,Schweiz,Ausland,Deutschland,Italien,Spanien,Türkei,Ehem. Jugoslawien ohne SLO
2008,5.4,1.3,1.8,2.9,3.1,0.9,0.7
2009,5.8,1.4,2,3.1,3.2,0.9,0.7
2010,5.6,1.4,2.1,2.9,2.8,0.9,0.6
2011,5.7,1.3,2.2,2.9,2.6,0.9,0.7
2012,5.8,1.4,2.4,2.7,2.3,1,0.6
2013,5.6,1.2,2.1,2.4,2.2,0.9,0.7
2014,5.6,1.3,2.2,2.2,2.1,1,0.8
2015,5.6,1.3,2.3,2.2,1.7,1,0.8
