Jahr	Klybeck	Kleinhüningen	Stadt Basel
2004	31.8	29.8	25.9
2005	31.3	29.9	25.7
2006	31.8	30.0	25.3
2007	30.5	29.5	24.9
2008	30.7	29.0	24.9
2009	29.9	29.7	24.6
2010	29.3	30.4	24.7
2011	29.4	30.3	24.5
2012	29.1	30.1	24.6
2013	28.8	30.9	24.5
2014	27.7	30.4	24.6
2015	27.8	31.3	24.8
2016	29.0	31.8	24.9
2017	29.2	31.9	25.1
2018	28.6	32.2	25.3
2019	28.1	31.7	25.3
2020	26.6	32.8	25.2
2021	27.1	32.0	25.5
2022	26.6	30.3	25.8
2023	26.4	29.7	25.9
2024	26.8	31.2	26.1
