"Jahr"	"Handel, Reparatur"	"Verkehr, Lagerei"	"Gastgewerbe"	"Information, Kommunikation"
2014	12472	10613	7331	4389
2015	12348	9804	7465	4074
2016	12066	9283	7212	3997
2017	11866	8980	7210	3964
2018	11695	9169	7419	3958
2019	11772	9808	7956	4297
2020	11362	9317	5678	4406
2021	11351	9483	6728	4647
2022	11548	10157	8001	5168
2023	11589	9944	7814	5127
