	Sehr einverstanden	Eher einverstanden	Eher nicht einverstanden	Überhaupt nicht einverstanden	Weiss nicht	Keine Angabe
2003	234	341	443	321	158	0
2005	180	357	481	345	147	0
2007	159	385	496	301	168	0
2011	311	367	431	312	92	3
2015	219	488	470	171	158	0
2019	212	495	450	136	662	153

