Alter	Schweizer	Schweizerinnen	Ausländer	Ausländerinnen
18-24 Jahre	21.6	3.8	58.2	9.3
25-34 Jahre	11.9	5.8	32.0	6.5
35-44 Jahre	16.8	7.2	23.3	8.6
45-59 Jahre	13.6	5.3	17.7	7.5
60 Jahre u.m.	4.7	1.2	7.5	2.3
