wohnviertel_id	Sozialhilfequote	Rang	Wohnviertel	jahr_num
1	0.0115429011	1	Altstadt Grossbasel	2018
30	0.0148392415	2	Bettingen	2018
7	0.0189163193	3	Bruderholz	2018
8	0.0259136213	4	Bachletten	2018
3	0.0322580645	5	Am Ring	2018
14	0.0330935252	6	Wettstein	2018
2	0.0357071614	7	Vorstädte	2018
20	0.0370197687	8	Riehen	2018
5	0.0382347841	9	St. Alban	2018
9	0.0442618224	10	Gotthelf	2018
15	0.0496960648	11	Hirzbrunnen	2018
4	0.0569521691	12	Breite	2018
12	0.0678936605	13	Altstadt Kleinbasel	2018
6	0.0738590979	14	Gundeldingen	2018
11	0.0866516806	15	St. Johann	2018
13	0.0877021068	16	Clara	2018
10	0.0956025196	17	Iselin	2018
16	0.1030701754	18	Rosental	2018
17	0.1157151041	19	Matthäus	2018
19	0.1263121064	20	Kleinhüningen	2018
18	0.1373920197	21	Klybeck	2018
