"CitYDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	0.5	0.46	0.56	0.19	1.04
Bern	0.61	0.49	0.66		
Genf	1.17	0.58	1.12		1.62
Lausanne	1.16	0.67	1.41		
Zürich	1.17	1.23	1.15		
