	Frauen	Männer
2013	2858	15555
2014	3242	17123
2015	3603	15054
2016	2469	14187
2017	2852	13223
2018	3165	12822
2019	4753	13580
2020	3731	13253
2021	3966	12924
2022	3218	10455
2023	4254	14139
2024	3966	13566
