Anzahl Personen	Einpersonenhaushalte	Familienhaushalte	Nichtfamilienhaushalte
1 Pers.	65.10		
2 Pers.		46.73	39.26
3 Pers.		31.96	27.88
4 Pers.		26.88	25.53
5 u.m. Pers.		21.01	23.90
