"A"	"Erwerb"	"Versicherung"	"Grenzgänger Deutschland u.a."	"Grenzgänger aus Frankreich"	"Künstler, Sport"	"Verwaltungsräte"	"Renten"	"Kapitalleistungen"
Quellensteuerertrag 2011	211927342	1549134	74792905	64359877	1230360	4670931	2218413	17378531
Quellensteuerertrag 2020	384091656	2895164	88694108	73950933	680725	21307154	3323633	32090701
Anzahl Veranlagungen 2011 (rechte Skala)	23111	1836	23273	20995	1669	161	1057	5720
Anzahl Veranlagungen 2020 (rechte Skala)	34311	2498	23315	22624	1257	445	1665	8457



