Staatsangehörigkeit	 Ausgestellte Gutscheine	 Eingelöste Gutscheine
Italien	444	167
Türkei	72	56
EU-17 & EFTA	1089	359
EU-Ost	469	158
Balkan	156	105
Mittel- & Südamerika	140	88
Arabische Länder	67	27
Afrikanische Länder	54	26
Übrige Länder	628	253
