Jahr	Basel-Stadt	Basel-Landschaft	Jura
2014	100.000000000000	100.000000000000	100.00000000000
2015	100.655637542887	100.335089083323	100.217651075452
2016	101.285425576914	100.780231934209	100.729771252987
2017	101.617552599834	100.732049190201	100.529190850119
2018	101.854114771819	100.543150932446	100.253926254694
2019	102.336638937194	100.559576867903	99.863434619324
2020	102.870078801836	100.701934975197	99.8186241037897
2021	102.223057761903	100.821296772851	99.3939911232503
2022	102.734564709937	101.034833933793	99.0568453397064


