Steuerertrag pro Einwohner/in in Franken	2014	2015	2016	2017
Basel-Stadt	13297	14230	14632	14104
Basel-Landschaft	7709	7775	8034	8464
Jura	6428	6491	6313	6353
Schweiz	7646	7743	7868	7915
