Jahr	Ökologischer Fussabdruck Schweiz
1961	4.396812092
1962	4.706563519
1963	4.612666781
1964	4.716467884
1965	4.665313147
1966	4.596142622
1967	4.801213615
1968	4.812047192
1969	5.396737933
1970	5.892174603
1971	6.056475322
1972	6.226480763
1973	6.491544443
1974	5.935450826
1975	5.130983089
1976	5.384228826
1977	5.475123846
1978	5.893457144
1979	5.860844063
1980	6.028129156
1981	5.758526164
1982	5.383431017
1983	5.631047049
1984	5.880285678
1985	5.909068939
1986	6.080149838
1987	5.940269319
1988	6.081388335
1989	6.357643751
1990	6.497769312
1991	6.22163599
1992	5.962255026
1993	5.640875407
1994	5.706368645
1995	5.737941792
1996	5.596989268
1997	5.64138907
1998	5.709809346
1999	5.487624131
2000	5.591844333
2001	5.346655805
2002	5.237355478
2003	5.286456539
2004	5.348015861
2005	5.590850809
2006	5.572617568
2007	5.842511093
2008	5.810678764
2009	5.291744592
2010	5.462485731
2011	5.391104561
2012	5.098662881
2013	5.147435509
2014	4.850440134
