Situation,2009 (N=3119),2013 (N=2231)
Berufliche Probleme,26.6110933,29.22456298
Gesundheitliche Probleme,18.94838089,20.6185567
Finanzielle Probleme,9.426098108,8.337068579
Wohnungsprobleme,19.01250401,22.27700583
Partnerschaftliche Probleme,31.22795768,33.34827432
Schulische Probleme der Kinder,23.56524527,22.99417302
Erziehungsfragen oder -probleme,46.90605963,46.57104437
