"Kanton"	"Jahr"	"Zimmerzahl"	"Leerwohnungen"	"Anteil_Leerwohnungen"	"Leerstandsquote"	"Legende"
"BS"	2026	"1 Zimmer"	224	0.246	0.017	"1 Zimmer (1,7%)"
"BS"	2026	"2 Zimmer"	274	0.300	0.010	"2 Zimmer (1,0%)"
"BS"	2026	"3 Zimmer"	265	0.291	0.006	"3 Zimmer (0,6%)"
"BS"	2026	"4 Zimmer"	100	0.110	0.005	"4 Zimmer (0,5%)"
"BS"	2026	"5 Zimmer"	29	0.032	0.004	"5 Zimmer (0,4%)"
"BS"	2026	"6 Zimmer"	20	0.022	0.003	"6 Zimmer (0,3%)"

