"jahr"	"Andere Energieträger (nicht erneuerbar)"	"Fernwärme (nicht erneuerbar)"	"Fernwärme (erneuerbar)"	"Andere Energieträger (erneuerbar)"
2014	1066.2858135	1036.08024	154.53513399	402.60037661
2016	878.06082491	1146.4458803	208.269607	416.26556792
2018	576.23593859	1309.4117768	180.40451733	413.56943849
