	Sehr gern	Eher gern	Eher ungern	Ganz ungern	Weiss nicht	Keine Angabe
2003	967	467	51	9	3	0
2005	942	508	48	11	1	0
2007	959	485	53	7	5	0
2011	1145	341	19	9	2	0
2015	1080	379	30	11	6	0
2019	1569	448	38	12	7	34

