"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	1720	""	""	""
"1986"	1796	""	""	""
"1987"	1758	""	""	""
"1988"	1781	""	""	""
"1989"	1726	""	""	""
"1990"	1841	""	""	""
"1991"	1966	""	""	""
"1992"	1916	""	""	""
"1993"	1985	""	""	""
"1994"	1985	""	""	""
"1995"	1854	""	""	""
"1996"	1959	""	""	""
"1997"	1821	""	""	""
"1998"	1789	""	""	""
"1999"	1730	""	""	""
"2000"	1697	""	""	""
"2001"	1566	""	""	""
"2002"	1611	""	""	""
"2003"	1646	""	""	""
"2004"	1628	""	""	""
"2005"	1666	""	""	""
"2006"	1662	""	""	""
"2007"	1667	""	""	""
"2008"	1695	""	""	""
"2009"	1775	""	""	""
"2010"	1910	""	""	""
"2011"	1868	""	""	""
"2012"	1930	""	""	""
"2013"	1962	""	""	""
"2014"	1957	""	""	""
"2015"	2065	""	""	""
"2016"	2172	""	""	""
"2017"	2081	""	""	""
"2018"	2078	""	""	""
"2019"	2067	""	""	""
"2020"	2000	""	""	""
"2021"	""	2139	2084	2029
"2022"	""	2201	2090	1978
"2023"	""	2260	2100	1940
"2024"	""	2317	2112	1908
"2025"	""	2374	2125	1880
"2026"	""	2430	2138	1854
"2027"	""	2486	2152	1830
"2028"	""	2541	2165	1808
"2029"	""	2593	2177	1787
"2030"	""	2641	2187	1767
"2031"	""	2684	2195	1748
"2032"	""	2721	2201	1730
"2033"	""	2752	2204	1714
"2034"	""	2778	2205	1698
"2035"	""	2799	2205	1684
"2036"	""	2818	2204	1671
"2037"	""	2834	2203	1659
"2038"	""	2848	2201	1647
"2039"	""	2861	2199	1636
"2040"	""	2874	2197	1626
"2041"	""	2885	2195	1617
"2042"	""	2896	2193	1607
"2043"	""	2905	2190	1598
"2044"	""	2914	2188	1589
"2045"	""	2921	2185	1581

