"Jahr"	"Finanz-, Versicherungs-DL"	"Beratung, Planung, Forschung, Immobilien"	"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	"Personalvermittlung, -überlassung"
2008	10619	15348	4580	5837
"."	""	""	""	""
2011	10464	17700	5705	5681
2012	10237	18182	5643	5847
2013	10121	18830	5728	6594
2014	10186	19292	5863	6484
2015	10213	18857	5775	6086
2016	9910	19008	5749	6254
2017	9439	19597	5766	6419

