	 Einkommenssteuer	 Vermögenssteuer	 Quellensteuer	 Gewinnsteuer	 Kapitalsteuer
2013	1079581767	279250054	365275691	544278335	133050144
2014	1109915052	305305031	380892266	542697000	134545000
2015	1109628846	270086215	403731511	530996541	134788299
2016	1150108299	300833840	405215788	536679690	157049719
2017	1128652533	260492057	438781747	379197426	123451442
2018	1151930387	254448839	442288818	582860056	158076382
2019	1223697688	341965536	495688492	369793655	92100695
2020	1253158592	333055837	533083141	279049288	137617241
2021	1341418374	358028920	523002854	503480171	90849643
2022	1341356217	333295523	538767520		
2023			545797789		
			
		

