""	"Programmierungstätigkeiten"	"IT-Beratung"	"Sonstige"
2013	1281.6	1264.2	154.3
2014	1282.6	1176.8	153.4
2015	996.8	1076.9	162.0
2016	1009.9	1048.9	156.3
2017	1112.2	1051.3	177.6
2018	1144.3	1041.9	182.9
2019	1218.3	1114.0	196.2
2020	1331.6	1142.6	197.0
2021	1485.3	1207.2	226.5
2022	1783.2	1384.2	240.2

