"Jahr"	"Finanz-, Versicherungs-DL"	"Beratung, Planung, Forschung, Immobilien"	"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	"Personalvermittlung, -überlassung"
2014	10308	19099	5684	6470
2015	10205	18864	5721	5993
2016	9958	18979	5686	6155
2017	9506	19566	5809	6125
2018	9539	19821	5608	5989
2019	9562	20430	5570	6516
2020	9890	20389	5051	6270
2021	10027	20626	5326	6919
2022	10245	21036	5570	6673
2023	10434	20185	5293	6282
