"Wohnviertel"	"Fremdprachenquote"
01	0.3333333333
02	0.4642857143
03	0.4210526316
04	0.5652173913
05	0.4810126582
06	0.528
07	0.2264150943
08	0.2695652174
09	0.358490566
10	0.6622516556
11	0.608974359
12	0.3846153846
13	0.9642857143
14	0.3571428571
15	0.3444444444
16	0.725
17	0.5948275862
18	0.7352941176
19	0.8
