"Jahr"	"Öffentliche Verwaltung, Sozialversicherungen"	"Erziehung, Unterricht"	"Gesundheits-, Sozialwesen"	"Kultur, Unterhaltung, pers. DL"
2013	5091	7632	19954	6991
2014	5173	7932	20402	7088
2015	5214	7948	20739	7128
2016	5337	7999	21413	7189
2017	5321	8005	21932	7184
2018	5339	8475	22249	7251
2019	5227	8658	22880	7299
2020	5408	8706	23001	7015
2021	5422	9123	23181	7091
2022	5479	9197	24693	7217

