"Jahr"	"Bruttoenergieverbrauch total"	"Erneuerbare Energieträger"	"Nicht erneuerbare Energieträger"
1995	6262		
2000	6420		
2004	6376		
2010		1995.1	3766.9
2012		1939.5	3415
2014		1867.7	3048.6
2016		1944.5	2982.8
2018		1855.1	2789.9
2020		1962.9	2503.7
2022		1852.2	2371.6
