"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	0.201	0.604	0	-0.315	1.408
Bern	1.235	2.517	0.636		
Genf	5.409	4.905	3.811		7.649
Lausanne	4.712	5.355	4.399		
Zürich	3.62	4.343	3.31		
