"Wohnviertel_ID"	"Wohnviertel_Name"	"Arbeitsstätten pro 100 Einwohner"	"Anzahl Arbeitsstätten"
1	"Altstadt Grossbasel"	56.784108	1515
2	"Vorstädte"	41.337942	2033
3	"Am Ring"	12.59542	1419
4	"Breite"	4.320361	383
5	"St. Alban"	16.790702	2008
6	"Gundeldingen"	8.3245355	1577
7	"Bruderholz"	4.8839919	461
8	"Bachletten"	6.3467718	869
9	"Gotthelf"	6.6391874	451
10	"Iselin"	4.2109639	709
11	"St. Johann"	6.3987701	1207
12	"Altstadt Kleinbasel"	22.32105	527
13	"Clara"	9.3023256	404
14	"Wettstein"	7.5212784	433
15	"Hirzbrunnen"	3.2309832	302
16	"Rosental"	5.1170745	389
17	"Matthäus"	6.8410069	1049
18	"Klybeck"	6.1708861	429
19	"Kleinhüningen"	9.930884	273
20	"Riehen"	4.5994879	1006
30	"Bettingen"	4.6623794	58

