JAHR	Innenstadt	Kanton BS
2008	33.45	35.24
2009	32.99	35.05
2010	32.36	34.97
2011	31.12	34.43
2012	30.58	34.52
2013	29.55	34.46
2014	29.63	34.55
2015	29.61	34.55
2016	29.71	34.61
2017	29.46	34.72
2018	29.74	34.62
2019	29.99	34.56
2020	29.97	34.40
2021	29.43	34.38
2022	28.55	33.73
2023	28.62	33.16
