"Herkunft"	"Deutsch oder Schweizerdeutsch"	"Kein Deutsch"
"Schweizer/-innen seit Geburt"	71706.002639	1501.183699
"Eingebürgerte Schweizer/-innen"	24090.580488	6073.268817
"Ausländer/-innen"	27398.483423	31987.707856

