"Jahr"	"Qualifikationsniveau"
"2010"	40.27
"2011"	42.51
"2012"	43.44
"2013"	46.30
"2014"	47.62
"2015"	48.09
"2016"	50.69
"2017"	50.60
"2018"	49.43
"2019"	52.13
"2020"	56.90
"2021"	57.16

