"Herkunft"	"Deutsch oder Schweizerdeutsch"	"Kein Deutsch"
"Schweizer/-innen seit Geburt"	38608.590413	798.817470
"Eingebürgerte Schweizer/-innen"	15292.022002	781.641638
"Ausländer/-innen"	28925.109680	10112.530298

