WohnviertelId	Wohnviertel_Name	2015	Differenz 2015 zu 1995	1995
11	St. Johann	1135053	-88589	1223642
15	Hirzbrunnen	199538	-11072	210610
1	Altstadt GB	519253	-10520	529773
17	Matthäus	146954	-6320	153274
4	Breite	87666	-5481	93147
19	Kleinhüningen	275637	-5388	281025
13	Clara	135893	-1850	137743
9	Gotthelf	98852	-346	99198
12	Altstadt KB	249937	521	249416
20	Riehen	207567	986	206581
7	Bruderholz	58834	1033	57801
30	Bettingen	29759	1933	27826
8	Bachletten	110727	3567	107160
10	Iselin	161092	4418	156674
18	Klybeck	824751	27951	796800
6	Gundeldingen	631156	36881	594275
16	Rosental	581619	39669	541950
14	Wettstein	562064	42438	519626
2	Vorstädte	917959	44288	873671
3	Am Ring	536448	74265	462183
5	St. Alban	1173793	167232	1006561
