""	"Bauschreinerei, Fenster und Türen"	"Schreinerarbeiten im Innenausbau"	"Sonstiges Schreinereigewerbe"
2011	105.4	198.1	3.5
2012	107.5	187.8	3.3
2013	93.2	218.8	2.3
2014	93.5	213.3	3.9
2015	88.9	201.0	5.2
2016	83.5	198.3	4.9
2017	63.1	277.9	3.5
2018	51.1	279.6	2.9

