	2017	2018	2019	2020	2021
Basel-Stadt	1 328 047	1 386 499	1 423 481	545 906	784 607
Basel-Landschaft	281 820	284 890	283 106	148 337	185 228
Jura	103 669	101 896	106 699	95 577	123 667
BS/BL/JU	1 713 536	1 773 285	1 813 286	789 820	1 093 502
