	Stimmt genau	Stimmt eher	Stimmt eher nicht	Stimmt gar nicht	Weiss nicht	Keine Angabe
2011	44	255	525	687	54	124
2015	60	210	419	580	104	54
2019	52	193	372	610	114	69
