"Jahr"	"Industrie (exkl. Chemie, Pharma)"	"Chemie, Pharma"	"Baugewerbe"
2014	7940	18192	7686
2015	8074	18578	7862
2016	8048	18821	7763
2017	7810	18571	7502
2018	7788	18098	7327
2019	7602	17730	7089
2020	7301	17638	7134
2021	7119	17646	6679
2022	6974	17541	6654
2023	7287	17514	6671
