Klassen	Veranlagungen	Summe Einkommenssteuer
0	29412	443498
1 bis 24 999	28411	76007858
25 000 bis 49 999	26144	202840217
50 000 bis 74 999	13315	171060846
75 000 bis 99 999	6907	124862885
100 000 bis 199 999	9398	260476091
200 000 u.m.	4010	417467197




