Wohnviertelid	Wohnviertel Name	2014	Differenz 2014 zu 2011	2011	Anz 2011	Anz 2014	Fläche Quartier in ha
1	Altstadt GB	298.973037855965	17.5485601904908	281.424477665474	10615.8000916	11277.7610142	37.7216657899207
2	Vorstädte	247.088620816459	4.97135860338847	242.117262213071	21835.1238161	22283.4612442	90.1840852507428
3	Am Ring	118.155977947776	3.95214679708467	114.203831150691	10437.5342561	10798.7363906	91.3939064121918
4	Breite	15.378967739765	-2.24328245514732	17.6222501949124	1209.2050713	1055.2753239	68.6180855410341
5	St. Alban	78.639323568882	1.77140738286801	76.867916186014	22900.1951941	23427.9260973	297.916170105138
6	Gundeldingen	101.104322496059	0.822336841499435	100.281985654559	11681.985326	11777.7804666	116.491364323807
7	Bruderholz	4.65631552458901	6.03347771897269E-02	4.59598074739928	1190.4926169	1206.1210781	259.029069600359
8	Bachletten	16.5210099764298	-0.989893234176385	17.5109032106062	2677.8150675	2526.4378949	152.922726788763
9	Gotthelf	41.355348019688	-5.76192039376375	47.1172684134517	2295.7500693	2015.0052471	48.7241757980302
10	Iselin	23.8365534805607	0.402317003665331	23.4342364768954	2559.3324412	2603.2708456	109.213391429387
11	St. Johann	84.0653394263105	1.42449562054979	82.6408438057607	18618.1709672	18939.0958487	225.290184729481
12	Altstadt KB	153.048779164001	-9.26996658125344	162.318745745254	4023.8060587	3794.0079074	24.7895339520121
13	Clara	118.553439728309	3.4400807222739	115.113359006035	2664.0875258	2743.7018835	23.1431655613518
14	Wettstein	133.860272247662	13.7353683865437	120.124903861119	9080.4415693	10118.720944	75.5916656532626
15	Hirzbrunnen	9.78686805054976	0.252298570843307	9.53456947970646	2953.1271473	3031.2711852	309.728420731055
16	Rosental	88.5050276957298	6.90496120944948	81.6000664862804	5170.5890527	5608.1219908	63.3650102916196
17	Matthäus	49.5248745922574	-1.66795863720149	51.1928332294589	3048.4386311	2949.1147761	59.5481523250754
18	Klybeck	65.2040801245654	-6.57390818240941	71.7779883069748	6605.1406378	6000.1976865	92.0218132828078
19	Kleinhüningen	43.5947567948006	10.2282247833202	33.3665320114803	4508.0180728	5889.9124261	135.105981983652
20	Riehen	3.16896548396142	0.102328636267827	3.06663684769359	3330.4457419	3441.5772478	1086.02547589057
30	Bettingen	1.57849677867498	0.123194979224724	1.45530179945025	324.0984812	351.5342376	222.701903703019
