	Einkaufsläden und Märkte	"Restaurations-, Bar- und Clubbetriebe sowie Diskotheken und Tanzlokale"	Betriebe in den Bereichen Kultur, Unterhaltung, Freizeit und Sport	Betriebe mit personenbezogenen Dienstleistungen mit Körperkontakt
4. April 2020	4.774285039	4.112502954	7.23824155	5.246986528
11. Mai 2020	0	0.070905223	5.719688017	0
18. Januar 2021	4.449302765	4.112502954	7.23824155	0
