jahr	Zuzug aus der Schweiz	Wegzug in die Schweiz	Zuzug aus dem Ausland	Wegzug ins Ausland	Wanderungssaldo Total	Zuzug Total	Wegzug Total
2006	5605	-6948	6494	-3931	392	12227	-11835
2007	5595	-7296	6965	-3940	559	12692	-12133
2008	6225	-7111	7789	-3864	2034	14169	-12135
2009	5851	-6940	7432	-3843	1666	13472	-11806
2010	5928	-6650	7482	-4077	263	13589	-13326
2011	6131	-6920	8016	-4331	1668	14325	-12657
2012	5969	-6626	7996	-4286	1738	14179	-12441
2013	6184	-7053	8953	-4684	1899	15236	-13337
2014	5631	-6908	7872	-4604	793	13520	-12727
2015	6208	-7262	8027	-4933	712	14279	-13567
2016	6527	-7518	8291	-5004	902	14849	-13947
