	Sehr gut	Eher gut	Eher nicht gut	Gar nicht gut	Weiss nicht	Keine Angabe
2003	314	926	212	31	14	0
2007	151	499	98	12	2	0
2011	318	562	97	29	2	1
2015	313	585	87	11	5	0
2019	376	1243	293	66	45	85

