"Alter"	"Männer"	"Frauen"
"0-4"	3.02	2.81
"5-9"	2.72	2.61
"10-14"	2.64	2.53
"15-19"	2.52	2.43
"20-24"	3.77	3.92
"25-29"	5.45	5.49
"30-34"	5.86	5.87
"35-39"	5.72	5.21
"40-44"	5.24	4.24
"45-49"	4.13	3.14
"50-54"	3.30	2.56
"55-59"	2.88	2.03
"60-64"	2.32	1.57
"65-69"	1.54	1.19
"70-74"	0.88	0.68
"75-79"	0.41	0.55
"80-84"	0.21	0.30
"85-89"	0.05	0.11
"90-94"	0.02	0.06
"95 u.m."	0.00	0.02

