"Kaderstufe"	"Schweiz"	"Schweizer"	"Schweizerinnen"	"Ausland"	"Ausländer"	"Ausländerinnen"	"Total"
"Ohne Kaderfunktion"	4240	1620	2620	888	329	559	5128
"Unteres Fachkader"	66	33	33	5	1	4	71
"Unteres Kader"	189	124	65	31	18	13	220
"Mittleres Fachkader"	119	50	69	12	6	6	131
"Mittleres Kader"	188	105	83	12	8	4	200
"Oberes Kader"	102	59	43	5	2	3	107

