Land,Jugendquotient
Schweiz,27.43132334
Ausland,23.5780943968662
,0
Deutschland,16.012012961
Italien,20.463464773
Spanien,18.485915493
Türkei,31.768873146
Maghreb und Ägypten,19.047619048
Ehem. Jugoslawien ohne SLO,32.835820896
EU-Oststaaten,15.471698113
Mittel- und Südamerika,18.361244019
