"Jahr"	"Effektiv M"	"Hohes Szenario M"	"Mittleres Szenario M"	"Tiefes Szenario M"	"Effektiv W"	"Hohes Szenario W"	"Mittleres Szenario W"	"Tiefes Szenario W"
"1986"	""	""	""	""	""	""	""	""
"1987"	72.94	""	""	""	79.15	""	""	""
"1988"	73.39	""	""	""	79.55	""	""	""
"1989"	72.27	""	""	""	80.04	""	""	""
"1990"	72.14	""	""	""	79.03	""	""	""
"1991"	73.04	""	""	""	80.06	""	""	""
"1992"	73.12	""	""	""	79.60	""	""	""
"1993"	72.65	""	""	""	79.74	""	""	""
"1994"	73.60	""	""	""	79.84	""	""	""
"1995"	73.30	""	""	""	80.72	""	""	""
"1996"	73.59	""	""	""	81.40	""	""	""
"1997"	74.72	""	""	""	80.50	""	""	""
"1998"	74.28	""	""	""	81.12	""	""	""
"1999"	74.83	""	""	""	79.92	""	""	""
"2000"	75.88	""	""	""	80.61	""	""	""
"2001"	75.39	""	""	""	81.67	""	""	""
"2002"	76.14	""	""	""	81.35	""	""	""
"2003"	74.98	""	""	""	81.21	""	""	""
"2004"	77.04	""	""	""	82.77	""	""	""
"2005"	76.16	""	""	""	82.93	""	""	""
"2006"	77.86	""	""	""	81.59	""	""	""
"2007"	77.38	""	""	""	82.51	""	""	""
"2008"	77.19	""	""	""	82.44	""	""	""
"2009"	77.99	""	""	""	82.23	""	""	""
"2010"	77.93	""	""	""	82.58	""	""	""
"2011"	78.88	""	""	""	82.77	""	""	""
"2012"	78.37	""	""	""	83.22	""	""	""
"2013"	77.88	""	""	""	83.26	""	""	""
"2014"	79.02	""	""	""	82.14	""	""	""
"2015"	78.47	""	""	""	83.15	""	""	""
"2016"	79.93	""	""	""	83.52	""	""	""
"2017"	79.70	""	""	""	82.79	""	""	""
"2018"	80.06	""	""	""	83.58	""	""	""
"2019"	80.12	""	""	""	83.31	""	""	""
"2020"	79.68	""	""	""	83.67	""	""	""
"2021"	79.92	""	""	""	84.45	""	""	""
"2022"	78.57	""	""	""	84.01	""	""	""
"2023"	80.10	""	""	""	84.07	""	""	""
"2024"	80.05	""	""	""	83.44	""	""	""
"2025"	""	80.72	79.78	78.79	""	84.52	83.76	82.95
"2026"	""	81.02	79.99	78.82	""	84.72	83.89	82.99
"2027"	""	81.28	80.13	78.85	""	84.88	84.02	83.02
"2028"	""	81.51	80.26	78.87	""	85.03	84.12	83.07
"2029"	""	81.70	80.38	78.91	""	85.15	84.21	83.11
"2030"	""	81.90	80.49	78.93	""	85.26	84.30	83.14
"2031"	""	82.06	80.59	78.94	""	85.37	84.37	83.18
"2032"	""	82.24	80.69	78.97	""	85.47	84.44	83.21
"2033"	""	82.38	80.80	79.00	""	85.56	84.52	83.26
"2034"	""	82.54	80.89	79.01	""	85.65	84.59	83.29
"2035"	""	82.66	80.97	79.03	""	85.74	84.64	83.33
"2036"	""	82.81	81.07	79.04	""	85.80	84.70	83.37
"2037"	""	82.92	81.15	79.06	""	85.90	84.77	83.41
"2038"	""	83.04	81.22	79.08	""	85.96	84.82	83.42
"2039"	""	83.17	81.29	79.11	""	86.02	84.88	83.46
"2040"	""	83.29	81.36	79.11	""	86.09	84.93	83.48
"2041"	""	83.39	81.43	79.14	""	86.15	84.98	83.51
"2042"	""	83.50	81.50	79.14	""	86.21	85.03	83.53
"2043"	""	83.62	81.57	79.14	""	86.27	85.08	83.56
"2044"	""	83.72	81.63	79.16	""	86.33	85.12	83.59
"2045"	""	83.82	81.69	79.19	""	86.39	85.18	83.62

