Jahr	Saldo in Mio. Franken
2002	-9.7
2003	-12.4
2004	-13.0
2005	-13.2
2006	-4.3
2007	-1.1
2008	-2.5
2009	4.6
2010	7.9
2011	4.8
2012	13.2
2013	12.1
